"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"aggregate.airing.v4","","20","","","0B","","false",""
"aggregate.airingNotification.v4","","20","","","0B","","false",""
"aggregate.brand.v4","","30","","","0B","","false",""
"aggregate.brandNotification.v4","","20","","","0B","","false",""
"aggregate.edit.v4","","30","","","0B","","false",""
"aggregate.editNotification.v4","","20","","","0B","","false",""
"aggregate.offering.v4","","50","","","0B","","false",""
"aggregate.offeringNotification.v4","","20","","","0B","","false",""
"aggregate.program.v4","","30","","","0B","","false",""
"aggregate.programNotification.v4","","20","","","0B","","false",""
"aggregate.season.v4","","30","","","0B","","false",""
"aggregate.seasonNotification.v4","","20","","","0B","","false",""
"aggregate.series.v4","","30","","","0B","","false",""
"aggregate.seriesNotification.v4","","20","","","0B","","false",""
"any-latam.event.gauth.audit","","20","45.63KB/s","45.47KB/s","48.67GB","","false",""
"any-latam.event.gauth.partner","","20","6.68KB/s","6.67KB/s","4.09GB","","false",""
"any-latam.event.gauth.partnerFulfillmentConfirmation.v1","","20","","","0B","","false",""
"any-latam.event.gauth.user","","20","170B/s","510B/s","197.58MB","","false",""
"any-latam.event.lexicon.audit","","20","45.15KB/s","45.08KB/s","41.58GB","","false",""
"beam-amer.heartbeat-signal","","20","","","0B","","false",""
"beam-amer.morpheus-notification","","20","","","0B","","false",""
"beam-latam.entity.capabilities.user-capability.v1","","40","","","0B","","false",""
"beam-latam.entity.lightning-bird.v1","","6","","","0B","","false",""
"beam-latam.event.capabilities.internal.tvod-entitlement.v1","","40","","","0B","","false",""
"beam-latam.event.capabilities.user-capability.v1","","40","","","0B","","false",""
"beam-latam.event.capabilities.user-ppv.receipt.v1","","40","","","0B","","false",""
"beam-latam.event.capabilities.user-ppv.v1","","40","","","0B","","false",""
"beam-latam.event.lightning-bird.v1","","6","12B/s","12B/s","929.39KB","","false",""
"br-amer.entity.livelike.v1","","20","","","0B","","false",""
"br-amer.entity.preferences.v1","","20","","","0B","","false",""
"br-amer.entity.silhouette.v1","","20","","","0B","","false",""
"br-amer.entity.silhouette.v2","","20","","","0B","","false",""
"br-amer.event.motif.identity.moderation-request.v1","","20","","","0B","","false",""
"br-amer.event.motif.identity.moderation-response.v1","","20","","","0B","","false",""
"br-amer.event.motif.media.media-state.v1","","20","","","0B","","false",""
"br-amer.event.motif.social.moderation-request.v1","","20","","","0B","","false",""
"br-amer.event.motif.social.moderation-response.v1","","20","","","0B","","false",""
"br-amer.event.silhouette.v1","","20","","","0B","","false",""
"br-amer.event.silhouette.v2","","20","","","0B","","false",""
"br-amer.event.tyrone.v1","","20","","","0B","","false",""
"dplus-amer.entity.capabilities.user-capability.v1","","40","","","0B","","false",""
"dplus-amer.event.capabilities.internal.tvod-entitlement.v1","","40","","","0B","","false",""
"dplus-amer.event.capabilities.user-capability.v1","","40","","","0B","","false",""
"dplus-amer.event.capabilities.user-ppv.receipt.v1","","40","","","0B","","false",""
