"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"aggregate.airing.v4","","20","","","0B","","false",""
"aggregate.airingNotification.v4","","20","","","0B","","false",""
"aggregate.brand.v4","","30","","","0B","","false",""
"aggregate.brandNotification.v4","","20","","","0B","","false",""
"aggregate.edit.v4","","30","","","0B","","false",""
"aggregate.editNotification.v4","","20","","","0B","","false",""
"aggregate.offering.v4","","50","","","0B","","false",""
"aggregate.offeringNotification.v4","","20","","","0B","","false",""
"aggregate.program.v4","","30","","","0B","","false",""
"aggregate.programNotification.v4","","20","","","0B","","false",""
"aggregate.season.v4","","30","","","0B","","false",""
"aggregate.seasonNotification.v4","","20","","","0B","","false",""
"aggregate.series.v4","","30","","","0B","","false",""
"aggregate.seriesNotification.v4","","20","","","0B","","false",""
"any-emea.event.gauth.audit","","20","","0B/s","22.06MB","","false",""
"any-emea.event.gauth.partner","","20","","0B/s","643.8KB","","false",""
"any-emea.event.gauth.partnerFulfillmentConfirmation.v1","","20","","","0B","","false",""
"any-emea.event.gauth.user","","20","","0B/s","2.32MB","","false",""
"any-emea.event.lexicon.audit","","20","","0B/s","0B","","false",""
"any-emea.event.lexicon.audit.databricks","","20","","","0B","","false",""
"any-emea.max.auditlog","","48","","","0B","","false",""
"any-emea.max.b2b.subscription","","24","","","0B","","false",""
"any-emea.max.refresh.b2b.subscription","","24","","","0B","","false",""
"any-emea.max.refresh.b2b.subscription.high","","18","","","0B","","false",""
"any-emea.max.refresh.b2b.subscription.low","","6","","","0B","","false",""
"any-emea.max.refresh.b2b.subscription.medium","","12","","","0B","","false",""
"any-emea.refresh.b2b.subscription","","24","","","0B","","false",""
"any-emea.refresh.b2b.subscription.high","","18","","","0B","","false",""
"any-emea.refresh.b2b.subscription.low","","6","","","0B","","false",""
"any-emea.refresh.b2b.subscription.medium","","12","","","0B","","false",""
"beam-emea.client.events.v1","","20","","","0B","","false",""
"beam-emea.entity.capabilities.user-capability.v1","","40","","","0B","","false",""
"beam-emea.entity.lightning-bird.v1","","6","","","0B","","false",""
"beam-emea.entity.telemetry-enriched-malformed.json.v1","","16","","","0B","","false",""
"beam-emea.entity.telemetry-enriched.json.v1.malformed","","16","","","0B","","false",""
"beam-emea.event.capabilities.internal.tvod-entitlement.v1","","40","","","0B","","false",""
"beam-emea.event.capabilities.user-capability.v1","","40","","","0B","","false",""
"beam-emea.event.capabilities.user-ppv.receipt.v1","","40","","","0B","","false",""
"beam-emea.event.capabilities.user-ppv.v1","","40","","","0B","","false",""
"beam-emea.event.gmssLogEvent.v1","","20","","","0B","","false",""
"beam-emea.event.lightning-bird.v1","","6","8B/s","8B/s","1008.98KB","","false",""
"beam-emea.event.ssaiExternalTrackers.v1","","20","","","0B","","false",""
"beam-emea.event.ssaiXcoderNotification.v1","","20","","2.15KB/s","301.22MB","","false",""
"beam-emea.heartbeat-signal","","20","","","0B","","false",""
